time,open,high,low,close,Volume
1771518960,24889,24890.75,24880.25,24883,4127
1771519020,24882.75,24888.5,24879,24887.25,2443
1771519080,24887.25,24898.25,24885.75,24895,3041
1771519140,24895.75,24901.75,24889.5,24891.5,2201
1771519200,24892,24897.25,24883,24889,2609
1771519260,24889.25,24890.75,24872,24878,3191
1771519320,24878,24885.25,24874.5,24874.5,2520
1771519380,24874.5,24881.5,24869.25,24876.75,2838
1771519440,24876.25,24882,24837.75,24843.25,6638
1771519500,24842.5,24864.25,24840.25,24851,6430
1771519560,24851.5,24852.75,24832.25,24834,5487
1771519620,24834,24845,24828.25,24842.5,4432
1771519680,24841.75,24847,24827,24829.5,3972
1771519740,24829.75,24832.25,24818,24830.5,4985
1771519800,24830.75,24830.75,24808.75,24823.75,7000
1771519860,24823.75,24826.25,24802,24805.75,4818
1771519920,24805.75,24815.75,24801.75,24808.25,3984
1771519980,24808,24846.25,24807.25,24838,7501
1771520040,24838,24872.25,24835.5,24868.5,6737
1771520100,24869.25,24872.5,24859,24864.25,4787
1771520160,24864.25,24867.5,24840.25,24852.25,5393
1771520220,24852,24858.75,24836.75,24842,4086
1771520280,24841.75,24855.5,24839.5,24842.75,2620
1771520340,24843.25,24853.75,24841.75,24843.5,1982
1771520400,24844.5,24850.25,24835.5,24841.75,3211
1771520460,24842.5,24848.75,24823.5,24831.25,4466
1771520520,24831,24835,24816,24817.5,3856
1771520580,24817.5,24828.75,24817.25,24823.25,3150
1771520640,24823.25,24827.5,24813.75,24823.5,3028
1771520700,24823,24825.5,24812.5,24817,2489
1771520760,24816.75,24833.25,24810.25,24826.75,3849
1771520820,24826,24848.75,24825.25,24843.75,5176
1771520880,24843.25,24853,24831.5,24834.75,3902
1771520940,24834,24844.75,24826.75,24830,2609
1771521000,24830,24841.75,24823,24841.5,3619
1771521060,24841.25,24851.5,24836.75,24845.5,2887
1771521120,24845,24847.5,24832.75,24842.75,2191
1771521180,24842.25,24845,24835.25,24837.75,1360
1771521240,24837,24848,24831.25,24845.75,2602
1771521300,24845.25,24851,24829.25,24836,3161
1771521360,24835.5,24842,24827,24838,2687
1771521420,24837.75,24867,24837.75,24865.5,5563
1771521480,24866.25,24875,24863.5,24868.5,3536
1771521540,24868.75,24873.75,24861.75,24871,2716
1771521600,24872,24889.25,24861.75,24882.75,4776
1771521660,24883,24888.75,24877.5,24886.5,2657
1771521720,24886,24894.75,24881.5,24885.5,3068
1771521780,24885.25,24900,24880.75,24897.75,3384
1771521840,24897.5,24905,24887,24888.5,3186
1771521900,24889,24892.25,24878,24884,3602
1771521960,24883.75,24887,24872.5,24878.25,3676
