time,open,high,low,close,Volume
1735772400,21273.25,21320,21254,21297.75,12572
1735774200,21298.5,21305.75,21243.75,21267.5,11973
1735776000,21267.5,21268.25,21121,21144,28243
1735777800,21143.75,21248.75,21133.25,21231.75,22496
1735779600,21231.75,21300,21231.75,21282.5,20365
1735781400,21282.25,21313.5,21262,21295.25,16105
1735783200,21294.75,21325.75,21287.5,21321.25,10774
1735785000,21321.25,21333,21309,21322.25,9000
1735786800,21321.75,21339.5,21306.75,21330.25,8447
1735788600,21331,21334.25,21294.5,21307,9133
1735790400,21306.25,21317.75,21287.5,21304.5,8406
1735792200,21305,21335.5,21302.75,21324.5,7279
1735794000,21324,21355,21320.25,21350.25,8265
1735795800,21349.5,21376.75,21340.75,21370.5,8712
1735797600,21370.75,21383.75,21356.25,21363.5,7227
1735799400,21364.25,21396.75,21361,21389.25,8482
1735801200,21389.5,21398.5,21371.75,21381.5,7427
1735803000,21381.5,21381.75,21345.75,21357,9749
1735804800,21358,21424.5,21342.25,21346.75,25521
1735806600,21347.25,21383.5,21318,21375.25,25093
1735808400,21375.25,21405.75,21350,21394.25,18655
1735810200,21394.5,21404,21361.75,21402.25,13354
1735812000,21402.75,21411.5,21359.5,21385.75,12365
1735813800,21384.25,21404,21366,21397.25,9706
1735815600,21398,21407.75,21370.5,21401,9942
1735817400,21401,21470,21386,21467.5,20002
1735819200,21467,21490.75,21455.25,21483.25,21862
1735821000,21483.5,21486.75,21413.75,21443.5,24745
1735822800,21443.5,21453,21409.25,21417.75,20169
1735824600,21420.25,21466.75,21403.25,21417,33386
1735826400,21417.5,21420,21334.75,21348.25,60274
1735828200,21348,21409.5,21166.5,21391.5,250881
1735830000,21392.25,21444,21255,21288,175968
1735831800,21288.5,21330.75,21209.25,21277.5,150728
1735833600,21278,21301.5,21186,21293,118552
1735835400,21292.75,21357,21269.5,21316.5,84651
1735837200,21316.25,21342.5,21143,21151.75,95577
1735839000,21151.5,21152.25,20983.25,21076.25,130467
1735840800,21076.5,21090,20994.5,21064.25,87082
1735842600,21064,21067.25,20987.25,21048,78986
1735844400,21048.5,21123.75,21027.75,21112,64673
1735846200,21112.5,21145.5,21057.5,21063.25,67490
1735848000,21063.75,21179,21062.25,21156.25,61903
1735849800,21156,21195.5,21120,21169.5,84773
1735851600,21169.5,21203,21168.75,21201,17337
1735853400,21201.25,21203.25,21177.75,21183,4838
1735858800,21191.5,21191.5,21148.5,21160.25,7206
1735860600,21160.25,21168,21144.25,21163.25,5447
1735862400,21163.75,21225.75,21153.25,21218,11597
1735864200,21218.5,21240,21216.75,21239.25,7158
1735866000,21239.5,21249,21216.5,21224.5,7225
1735867800,21224.25,21234.5,21205.25,21224.25,7283
1735869600,21225,21249.75,21222.25,21243.75,6348
1735871400,21244.5,21245,21221.25,21242.5,5843
1735873200,21242.5,21260,21242.25,21251,6606
1735875000,21251.25,21257.25,21243.75,21248.25,2767
1735876800,21248.5,21256,21236.5,21244.25,3525
1735878600,21244.75,21245.75,21223,21224,4065
1735880400,21224.75,21227,21206,21222.75,5957
1735882200,21222.75,21232.25,21217.5,21226.25,3904
1735884000,21225.75,21243.5,21218,21240.5,4428
1735885800,21240.5,21257,21236.25,21237.25,5391
1735887600,21237.25,21245.75,21210.5,21233.75,9799
1735889400,21234.5,21253.5,21230,21245.75,5159
1735891200,21245.75,21275.75,21227,21228,17086
1735893000,21228,21239.5,21213,21236.75,12983
1735894800,21236.75,21287.75,21228.25,21275.5,14240
1735896600,21275.5,21283.5,21261,21271.5,7969
1735898400,21271.25,21272.5,21241,21253.5,8736
1735900200,21253.75,21257,21227,21238,7715
1735902000,21238,21252.5,21219.25,21246.25,9393
1735903800,21246,21251.75,21234.25,21247.5,6116
1735905600,21246.75,21246.75,21208.25,21235.5,13501
1735907400,21234.75,21244.75,21220.75,21242,8873
1735909200,21242,21268.5,21237.75,21258.75,15108
1735911000,21259,21273.25,21226.75,21227.75,17860
1735912800,21228.5,21303,21227.75,21294.25,29154
1735914600,21293.75,21434.5,21276.75,21383.5,220125
1735916400,21386.25,21440.75,21260.75,21334,199813
1735918200,21334,21398.75,21296.75,21377,114561
1735920000,21376.75,21427.25,21336.25,21426.5,97838
1735921800,21426.25,21492.25,21421,21464.25,81864
1735923600,21464.75,21487,21442,21449.5,52375
1735925400,21450.25,21475.25,21441.5,21471,37488
1735927200,21470.5,21504.5,21449.25,21503.25,34634
1735929000,21503.5,21531.25,21493.5,21508.75,41167
1735930800,21509,21545.5,21496.25,21537.5,34275
1735932600,21538,21559.25,21528.5,21534,29518
1735934400,21534.75,21534.75,21505.75,21522.5,37229
1735936200,21522.25,21527.25,21474.75,21508.25,61807
1735938000,21508.25,21513.75,21480,21483.75,16644
1735939800,21483.5,21495,21476.25,21490.25,6432
1736118000,21532,21543,21512,21518.5,11897
1736119800,21519.5,21531,21502,21525.25,9900
1736121600,21525.75,21536,21493,21502.5,12488
1736123400,21502.5,21503.5,21478.75,21496.25,10483
1736125200,21496.5,21507,21486.5,21492.25,7827
1736127000,21493.5,21501.25,21482.25,21500.5,5949
1736128800,21500,21519,21483.25,21502.75,10502
1736130600,21503.75,21512.5,21495.5,21510,5721
1736132400,21510.25,21513.75,21500.5,21506,3363
1736134200,21506.25,21517.75,21504.75,21508.25,3640
1736136000,21508.75,21519.5,21504,21517.75,3089
1736137800,21517.75,21523.75,21516.75,21523,2940
1736139600,21523,21541.25,21520.5,21540,4616
1736141400,21539.5,21551.5,21533.75,21539.5,6065
1736143200,21539,21544.5,21530,21537.5,3825
1736145000,21538.25,21555.75,21536.5,21549.75,4349
1736146800,21549.25,21570.5,21539.75,21567.25,7348
1736148600,21566.75,21576.75,21562,21565.75,5616
1736150400,21565.25,21595,21564.25,21575.25,12595
1736152200,21575,21625,21572.5,21618,11446
1736154000,21618.25,21654.25,21616.5,21642.75,13983
1736155800,21643.75,21673,21633.75,21669.75,9331
1736157600,21669,21692.75,21654.5,21680,12834
1736159400,21680,21683.5,21658.5,21671,11792
1736161200,21670.75,21727.25,21641.25,21724.5,29075
1736163000,21724.5,21745,21708.5,21731.25,19195
1736164800,21730.5,21738,21711.5,21728.5,13929
1736166600,21728.75,21761,21714.75,21735.25,16266
1736168400,21735.25,21742.25,21716,21742,15195
1736170200,21742.25,21751.5,21706.75,21749.5,24651
1736172000,21749.75,21755.75,21641.25,21732,67564
1736173800,21732.75,21848,21723.75,21818.75,225387
1736175600,21818.5,21886.75,21780.5,21876.5,142279
1736177400,21877.25,21892.25,21844,21869.5,93512
1736179200,21870,21897,21856,21888.5,67979
1736181000,21889,21891.25,21844.25,21857.25,52740
1736182800,21857.25,21869.25,21815.5,21827.25,56875
1736184600,21827.5,21837.75,21768.75,21794.5,70185
1736186400,21795,21795.5,21738.75,21785.5,64317
1736188200,21785.75,21788.5,21701.5,21707,70874
1736190000,21707.25,21723.5,21676.75,21710,66828
1736191800,21709.75,21720.75,21657.5,21659.75,55834
1736193600,21659.5,21731.25,21646.5,21727.25,56458
1736195400,21727,21756.25,21671.25,21750,74668
1736197200,21750.5,21783.5,21749.25,21773.5,22856
1736199000,21774,21786.5,21772.75,21781,5064
1736204400,21781,21796.75,21770.5,21776,7108
1736206200,21776.25,21783.5,21767.75,21771.25,4972
1736208000,21771.25,21775,21760,21764.5,5883
1736209800,21764.75,21782.25,21751,21761.5,7034
1736211600,21761.25,21769.75,21746.25,21749.75,6343
1736213400,21749,21772.5,21747.75,21768.5,5143
1736215200,21768.5,21785.75,21767,21778.75,5233
1736217000,21779,21779.5,21734,21738.25,9534
1736218800,21738.25,21742.5,21715.75,21736.25,9449
1736220600,21736.75,21753,21732.25,21747.25,6676
1736222400,21747.25,21748,21730.5,21741.75,3927
1736224200,21741.5,21744,21718.75,21720,5349
1736226000,21720.5,21727.5,21659,21687.75,14573
1736227800,21687.5,21708,21682,21705.75,7638
1736229600,21705.25,21716.25,21698,21706.5,5764
1736231400,21706.25,21711,21684,21690,6501
1736233200,21689.5,21729.25,21688.25,21711.25,9509
1736235000,21711.5,21732.5,21701.25,21729.25,7738
1736236800,21729,21736,21705.25,21712.5,11425
1736238600,21712.75,21765.5,21709.5,21757.25,13823
1736240400,21757.5,21774.75,21746.5,21757.25,11404
1736242200,21757.75,21768.5,21724.5,21728,11598
1736244000,21728,21770.75,21716.5,21759,11078
1736245800,21759.25,21771,21753.75,21767.75,5997
1736247600,21767.75,21772,21742,21764,9396
1736249400,21764,21765.25,21720.25,21736,13253
1736251200,21736.25,21749.5,21718.75,21730.25,12401
1736253000,21730.75,21763.75,21729,21745.25,13400
1736254800,21745,21759.25,21731,21745.5,13159
1736256600,21745.5,21779,21735,21778.75,16725
1736258400,21778.25,21797.5,21770,21791.5,30918
1736260200,21791.75,21806.25,21695,21711.5,202513
1736262000,21712.25,21712.25,21524.75,21577.5,282210
1736263800,21577,21586.5,21399.25,21547.75,223996
1736265600,21548.25,21573,21493,21555.75,137589
1736267400,21555.5,21559.75,21425.25,21435.5,124654
1736269200,21435.5,21475.75,21410.25,21429.25,76906
1736271000,21429.25,21466.5,21386.75,21445,72355
1736272800,21445.25,21517.5,21438.25,21508.25,55273
1736274600,21507.75,21507.75,21428.75,21439.5,52705
1736276400,21439.5,21474.75,21431.25,21456.75,46355
1736278200,21456.25,21459.75,21402.5,21417.25,50672
1736280000,21418,21423.25,21323.75,21326.75,71168
1736281800,21327.75,21374,21279.5,21359.5,100514
1736283600,21359.75,21394.75,21357,21383.5,19487
1736285400,21383.5,21386.75,21368.5,21375.25,5659
1736290800,21386.25,21386.25,21344.75,21370,9071
1736292600,21370.75,21396,21366,21393,6909
1736294400,21392.25,21406.5,21388.25,21401.75,6909
1736296200,21401.5,21414.25,21398,21406.5,5812
1736298000,21406.25,21415.25,21394.75,21408.25,6689
1736299800,21408,21434.75,21405,21430,8356
1736301600,21429.75,21437,21421.75,21425,4704
1736303400,21425,21427.5,21402,21419,8636
1736305200,21418.75,21425,21388.75,21401.25,8698
1736307000,21402,21410,21395,21405.75,4526
1736308800,21406.5,21419,21406.5,21413.5,4010
1736310600,21413.75,21417.25,21384.25,21393,5332
1736312400,21393.75,21413.25,21393.25,21411.5,4078
1736314200,21411.25,21432.5,21406,21430,4848
1736316000,21430,21434.75,21422.25,21426.5,3446
1736317800,21426.75,21427,21396,21399.5,6469
1736319600,21399.75,21401.75,21360.25,21372,13295
1736321400,21371.5,21391.75,21365.5,21390.75,6377
1736323200,21390,21419.25,21379,21393.25,12469
1736325000,21392.75,21420,21387.5,21412,9324
1736326800,21411.75,21433.5,21405.5,21421,10227
1736328600,21421.75,21431.25,21410.75,21430,5765
1736330400,21429.75,21443.75,21425.75,21436.75,7407
1736332200,21436.5,21448.25,21423.5,21444.25,6419
1736334000,21443.5,21447.75,21372.5,21383.75,16225
1736335800,21384.25,21392,21284.75,21364.25,60106
1736337600,21363.75,21367,21238.75,21251.25,46586
1736339400,21251.75,21297.75,21221.25,21258,41511
1736341200,21257.75,21388.5,21255,21351.25,62640
1736343000,21349.75,21393.75,21314.5,21377.5,56890
1736344800,21377,21387.75,21326.25,21356,45411
1736346600,21355.75,21384.75,21285,21344.25,217226
1736348400,21344,21406,21231.25,21288.75,189101
1736350200,21288.75,21369,21276.75,21357.75,115317
1736352000,21357.75,21373,21284.5,21336,81261
1736353800,21336.25,21418.75,21333.5,21385.25,68017
1736355600,21385.75,21387.5,21177,21191,95247
1736357400,21191,21285.75,21166,21268,90594
1736359200,21268,21406.5,21264.5,21384.25,85897
1736361000,21384,21389.5,21282,21324.5,70634
1736362800,21325.5,21431.5,21286.75,21418,108365
1736364600,21418.25,21418.25,21317.5,21337,79910
1736366400,21336.75,21359.25,21301,21348.5,58614
1736368200,21348.25,21377.5,21309,21360.25,59210
1736370000,21360.5,21389.5,21343.5,21364.5,19056
1736371800,21364,21366.75,21305.75,21326.5,11889
1736377200,21348.75,21348.75,21314.5,21341,4966
1736379000,21340.75,21344,21312.5,21315.25,5133
1736380800,21315.25,21324,21285.5,21292.25,8309
1736382600,21292.25,21309.25,21271.25,21307.25,10321
1736384400,21306.5,21325,21300.75,21324.5,7206
1736386200,21323.75,21328.5,21309.5,21314.25,6309
1736388000,21314.25,21344.5,21313.5,21337.5,5730
1736389800,21337.5,21347,21331.25,21344.5,4156
1736391600,21344.5,21344.75,21326.75,21337,3640
1736393400,21336.75,21343.25,21310,21310.75,5832
1736395200,21310.75,21317.5,21293.75,21303.5,6340
1736397000,21303.75,21315,21296.5,21311.25,4381
1736398800,21310.25,21329.75,21302.5,21312.5,5839
1736400600,21312.25,21327.5,21309.5,21322.5,3257
1736402400,21323.25,21328.25,21313.25,21325,3704
1736404200,21325,21326,21307.25,21315.25,4177
1736406000,21315.25,21316.75,21275.75,21276,8032
1736407800,21276.5,21278.25,21241,21249.25,13726
1736409600,21249.25,21280.5,21217.5,21280.25,18074
1736411400,21279.75,21306.5,21276.5,21293.5,12257
1736413200,21294.5,21303.25,21278,21289,8473
1736415000,21289.25,21314.5,21283,21311,8259
1736416800,21311,21335,21309.75,21320.5,7338
1736418600,21321,21333.75,21313.75,21327.25,6245
1736420400,21327,21328.75,21283,21313.75,13571
1736422200,21313,21314.25,21276.5,21300.25,13520
1736424000,21300.75,21317.75,21286,21291.25,8550
